Surgery_No,Type,Video_Time,Real_Time,Video_Name
第 1 刀,ENT,00:00:26,07:48:35,S02-20240806-074809-1722901689.mp4
第 1 刀,SEND,00:00:44,09:00:53,S02-20240806-090009-1722906009.mp4
